Order ID,VersionHistory_F5F8918F-0A3F-4DA9-AE71-184EE5012880,Employee ID,Customer ID,Order Date,Shipped Date,Shipper ID,Ship Name,Ship Address,Ship City,Ship State/Province,Ship ZIP/Postal Code,Ship Country/Region,Shipping Fee,Taxes,Payment Type,Paid Date,Notes,Tax Rate,Tax Status,Status ID
30,1,9,27,"01/15/06 00:00:00","01/22/06 00:00:00",2,"Karen Toh","789 27th Street","Las Vegas","NV","99999","USA",200.0000,0.0000,"Check","01/15/06 00:00:00",,0,,3
31,2,3,4,"01/20/06 00:00:00","01/22/06 00:00:00",1,"Christina Lee","123 4th Street","New York","NY","99999","USA",5.0000,0.0000,"Credit Card","01/20/06 00:00:00",,0,,3
32,3,4,12,"01/22/06 00:00:00","01/22/06 00:00:00",2,"John Edwards","123 12th Street","Las Vegas","NV","99999","USA",5.0000,0.0000,"Credit Card","01/22/06 00:00:00",,0,,3
33,4,6,8,"01/30/06 00:00:00","01/31/06 00:00:00",3,"Elizabeth Andersen","123 8th Street","Portland","OR","99999","USA",50.0000,0.0000,"Credit Card","01/30/06 00:00:00",,0,,3
34,5,9,4,"02/06/06 00:00:00","02/07/06 00:00:00",3,"Christina Lee","123 4th Street","New York","NY","99999","USA",4.0000,0.0000,"Check","02/06/06 00:00:00",,0,,3
35,6,3,29,"02/10/06 00:00:00","02/12/06 00:00:00",2,"Soo Jung Lee","789 29th Street","Denver","CO","99999","USA",7.0000,0.0000,"Check","02/10/06 00:00:00",,0,,3
36,7,4,3,"02/23/06 00:00:00","02/25/06 00:00:00",2,"Thomas Axen","123 3rd Street","Los Angelas","CA","99999","USA",7.0000,0.0000,"Cash","02/23/06 00:00:00",,0,,3
37,8,8,6,"03/06/06 00:00:00","03/09/06 00:00:00",2,"Francisco Pérez-Olaeta","123 6th Street","Milwaukee","WI","99999","USA",12.0000,0.0000,"Credit Card","03/06/06 00:00:00",,0,,3
38,9,9,28,"03/10/06 00:00:00","03/11/06 00:00:00",3,"Amritansh Raghav","789 28th Street","Memphis","TN","99999","USA",10.0000,0.0000,"Check","03/10/06 00:00:00",,0,,3
39,10,3,8,"03/22/06 00:00:00","03/24/06 00:00:00",3,"Elizabeth Andersen","123 8th Street","Portland","OR","99999","USA",5.0000,0.0000,"Check","03/22/06 00:00:00",,0,,3
